"","X","Y","Name","radius","ampel"
"1",477105.245,5631756.615,"HORST1",50,"red"
"2",477081.626,5631800.11,"HORST2",20,"yellow"
"3",476885.187,5631895.375,"HORST3",20,"green"
"4",476977.7,5631858.457,"HORST4",20,"red"
"5",477011.836,5631875.277,"HORST5",20,"yellow"
"6",477072.985,5631852.659,"HORST6",20,"green"
"7",477590.749,5631545.672,"HORST7",20,"red"
"8",477606.987,5631687.618,"HORST8",20,"yellow"
"9",477244.405,5631806.437,"HORST9",20,"green"
"10",477254.209,5631851.357,"HORST10",20,"red"
"11",477252.976,5631851.409,"HORST10",20,"yellow"
"12",477543.646,5631819.772,"HORST11",20,"green"
"13",477612.712,5631760.418,"HORST12",20,"red"
"14",477617.537,5631883.603,"HORST13",20,"yellow"
"15",477296.1,5631890.274,"HORST14",20,"green"
"16",477306.922,5631891.183,"HORST15",20,"red"
"17",477345.54,5631965.841,"HORST16",20,"yellow"
"18",477371.63,5631947.309,"HORST17",20,"green"
"19",477600.024,5631728.472,"HORST18",20,"red"
"20",477856.631,5632236.345,"HORST19",20,"yellow"
"21",477795.112,5632268.422,"HORST20",20,"green"
"22",477931.672,5632299.473,"HORST21",20,"red"
"23",477918.67,5632297.669,"HORST22",20,"yellow"
"24",477915.152,5632226.602,"HORST23",20,"green"
"25",477986.221,5632252.323,"HORST24",20,"red"
"26",478038.684,5632232.832,"HORST25",20,"yellow"
"27",478076.409,5632212.196,"HORST26",20,"green"
"28",478093.127,5632184.201,"HORST27",20,"red"
"29",478113.728,5632190.166,"HORST28",20,"yellow"
"30",478059.088,5632263.102,"HORST29",20,"green"
"31",477938.643,5632365.598,"HORST30",20,"red"
"32",477656.015,5632426.321,"HORST31",20,"yellow"
"33",477629.563,5632402.527,"HORST32",20,"green"
"34",477410.789,5632710.539,"HORST33",20,"red"
"35",477376.906,5632684.116,"HORST34",20,"yellow"
"36",477315.012,5632724.216,"HORST35",20,"green"
"37",477409.765,5632507.68,"HORST36",20,"red"
"38",477431.342,5632487.816,"HORST37",20,"yellow"
"39",477473.778,5632491.771,"HORST38",20,"green"
"40",477277.028,5632475.252,"HORST39",20,"red"
"41",477192.699,5632363.979,"HORST40",20,"yellow"
"42",476870.695,5631974.617,"HORST50",20,"green"
"43",477177.551,5631901.61,"HORST51",20,"red"
"44",476701.757,5632317.383,"HORST53",20,"yellow"
"45",476829.347,5632350.114,"HORST54",20,"green"
