X,Y,ele,time,name,cmt
477856.486464396,5632273.1591264,282.000000000000000,2019/05/14 08:36:22.000,mist net #1,
477576.963043016,5631800.2841403,340.000000000000000,2019/06/10 10:17:31.000,mist net #7,
477108.99398199,5632203.31803628,309.000000000000000,2019/06/10 10:20:29.000,mist net #3,
477396.940532394,5631866.03213357,333.000000000000000,2019/05/28 08:58:16.000,mist net #2,
477472.40399105,5631585.04004006,371.000000000000000,2019/06/09 15:10:50.000,mist net #6,
476837.565771025,5632251.44686141,314.000000000000000,2019/06/09 11:55:23.000,mist net #5,
477052.507594921,5631794.07858967,394.000000000000000,2019/06/04 07:15:57.000,mist net #4,
477320.675399587,5632429.65858871,,,mist net #8,
477523.539229727,5632493.30549853,,,mist net #10,
477235.101649028,5632022.75106404,,,mist net #9,
477417.595041879,5632081.52993667,,,walk-in trap,
478148.389195137,5631519.61867348,,,carrion food bonanza,
