X,Y,Name,Basis,O,N,Z,wgsLat,wgsLon,wgsHeight,Satellites,korrekturO,korrekturN,rtkMode,distBasis,Date,utcTime,Code
477105.245,5631756.615,HORST1,"1024",477105.245,5631756.615,431.131,50.5013437,8.40294948,431.131,GPS:6 GLS:6 SBAS:0 BDU:4,0.135,0.098,RTK Float,NA,21-01-2019,10:12:46,HORST
477081.626,5631800.11,HORST2,"1024",477081.626,5631800.11,425.824,50.50148417,8.40282775,425.824,GPS:8 GLS:6 SBAS:0 BDU:4,0.01,0.006,RTK Fixed,NA,21-01-2019,10:15:03,HORST
476885.187,5631895.375,HORST3,"1024",476885.187,5631895.375,418.461,50.50178976,8.40182129,418.461,GPS:7 GLS:3 SBAS:0 BDU:5,0.516,0.317,RTK Fixed,NA,21-01-2019,11:28:16,HORST
476977.7,5631858.457,HORST4,"1024",476977.7,5631858.457,425.674,50.50167157,8.40229511,425.674,GPS:8 GLS:5 SBAS:0 BDU:4,0.454,0.197,RTK Fixed,NA,21-01-2019,11:57:23,HORST
477011.836,5631875.277,HORST5,"1024",477011.836,5631875.277,417.922,50.50172651,8.40246925,417.922,GPS:8 GLS:5 SBAS:0 BDU:4,0.009,0.008,RTK Fixed,NA,21-01-2019,11:59:47,HORST
477072.985,5631852.659,HORST6,"1024",477072.985,5631852.659,419.583,50.50165416,8.40278239,419.583,GPS:9 GLS:5 SBAS:0 BDU:3,0.011,0.009,RTK Fixed,NA,21-01-2019,12:08:02,HORST
477590.749,5631545.672,HORST7,"1024",477590.749,5631545.672,398.985,50.50066764,8.40543625,398.985,GPS:10 GLS:6 SBAS:0 BDU:3,0.01,0.009,RTK Fixed,NA,21-01-2019,13:25:10,HORST
477606.987,5631687.618,HORST8,"1024",477606.987,5631687.618,393.355,50.5011274,8.40551614,393.355,GPS:8 GLS:7 SBAS:0 BDU:3,0.011,0.009,RTK Fixed,NA,21-01-2019,13:52:11,HORST
477244.405,5631806.437,HORST9,"1024",477244.405,5631806.437,387.019,50.50150696,8.40365982,387.019,GPS:10 GLS:6 SBAS:0 BDU:4,0.09,0.069,RTK Fixed,NA,21-01-2019,14:05:53,HORST
477254.209,5631851.357,HORST10,NA,477254.209,5631851.357,390.825,50.50165252,8.40370894,390.825,GPS:8 GLS:5 SBAS:0 BDU:3,0.319,0.26,RTK Fixed,NA,21-01-2019,14:09:46,HORST
477252.976,5631851.409,HORST10,"1776",477252.976,5631851.409,389.444,50.50165267,8.40370263,389.444,GPS:9 GLS:6 SBAS:0 BDU:3,0.14,0.14,RTK Float,NA,21-01-2019,14:15:18,HORST
477543.646,5631819.772,HORST11,"3815",477543.646,5631819.772,367.706,50.50155434,8.4051894,367.706,GPS:8 GLS:5 SBAS:0 BDU:5,0.01,0.01,RTK Fixed,"620.202",22-01-2019,11:07:39,HORST
477612.712,5631760.418,HORST12,"3815",477612.712,5631760.418,369.37,50.50136316,8.40554381,369.37,GPS:9 GLS:6 SBAS:0 BDU:6,0.42,0.17,RTK Fixed,"670.91",22-01-2019,11:17:50,HORST
477617.537,5631883.603,HORST13,"3815",477617.537,5631883.603,340.744,50.50176202,8.40556576,340.744,GPS:8 GLS:6 SBAS:0 BDU:6,0.01,0.01,RTK Fixed,"711.728",22-01-2019,12:11:55,HORST
477296.1,5631890.274,HORST14,"3815",477296.1,5631890.274,376.191,50.5017791,8.40392224,376.191,GPS:5 GLS:4 SBAS:0 BDU:3,0.181,0.181,RTK Float,"434.482",22-01-2019,13:33:54,HORST
477306.922,5631891.183,HORST15,"3815",477306.922,5631891.183,371.748,50.5017822,8.40397754,371.748,GPS:5 GLS:7 SBAS:0 BDU:4,0.188,0.187,RTK Float,"443.539",22-01-2019,13:34:52,HORST
477345.54,5631965.841,HORST16,"3815",477345.54,5631965.841,371.136,50.50202444,8.40417332,371.136,GPS:8 GLS:7 SBAS:0 BDU:5,0.011,0.01,RTK Float,"521.064",22-01-2019,14:03:23,HORST
477371.63,5631947.309,HORST17,"3815",477371.63,5631947.309,361.141,50.50196481,8.40430712,361.141,GPS:7 GLS:5 SBAS:0 BDU:6,0.211,0.167,RTK Float,"529.096",22-01-2019,14:40:34,HORST
477600.024,5631728.472,HORST18,"2329",477600.024,5631728.472,383.873,50.50125956,8.40547964,383.873,GPS:10 GLS:5 SBAS:0 BDU:4,0.12,0.1,RTK Float,"655.2",23-01-2019,09:20:11,HORST
477856.631,5632236.345,HORST19,"2329",477856.631,5632236.345,321.712,50.50290727,8.41078048,321.712,GPS:7 GLS:6 SBAS:0 BDU:3,0.21,0.17,RTK Float,"1093.116",23-01-2019,10:34:58,HORST
477795.112,5632268.422,HORST20,"2329",477795.112,5632268.422,319.252,50.50301027,8.41046523,319.252,GPS:6 GLS:8 SBAS:0 BDU:3,0.09,0.1,RTK Float,"1062.16",23-01-2019,10:46:47,HORST
477931.672,5632299.473,HORST21,"2329",477931.672,5632299.473,320.522,50.50311267,8.41116279,320.522,GPS:6 GLS:7 SBAS:0 BDU:3,0.15,0.13,RTK Float,"1190.726",23-01-2019,10:58:11,HORST
477918.67,5632297.669,HORST22,"2329",477918.67,5632297.669,321.106,50.50310665,8.41109635,321.106,GPS:6 GLS:7 SBAS:0 BDU:4,0.12,0.11,RTK Float,"1179.035",23-01-2019,10:59:23,HORST
477915.152,5632226.602,HORST23,"2329",477915.152,5632226.602,328.385,50.50287654,8.4110799,328.385,GPS:6 GLS:5 SBAS:0 BDU:4,0.21,0.21,RTK Float,"1136.693",23-01-2019,11:06:06,HORST
477986.221,5632252.323,HORST24,"2329",477986.221,5632252.323,324.295,50.50296078,8.41144272,324.295,GPS:5 GLS:6 SBAS:0 BDU:4,0.09,0.2,RTK Float,"1210.63",23-01-2019,11:10:53,HORST
478038.684,5632232.832,HORST25,"2329",478038.684,5632232.832,322.156,50.5028984,8.41171138,322.156,GPS:6 GLS:6 SBAS:0 BDU:4,0.13,0.17,RTK Float,"1245.964",23-01-2019,11:20:51,HORST
478076.409,5632212.196,HORST26,"2329",478076.409,5632212.196,322.208,50.50283211,8.41190471,322.208,GPS:6 GLS:5 SBAS:0 BDU:4,0.23,0.17,RTK Float,"1269.185",23-01-2019,11:26:57,HORST
478093.127,5632184.201,HORST27,"2329",478093.127,5632184.201,316.339,50.50274171,8.41199079,316.339,GPS:6 GLS:6 SBAS:0 BDU:4,0.07,0.11,RTK Float,"1271.325",23-01-2019,11:36:03,HORST
478113.728,5632190.166,HORST28,"2329",478113.728,5632190.166,317.757,50.5027613,8.41209599,317.757,GPS:6 GLS:5 SBAS:0 BDU:4,0.16,0.14,RTK Float,"1292.439",23-01-2019,11:39:05,HORST
478059.088,5632263.102,HORST29,"2329",478059.088,5632263.102,315.73,50.50299667,8.41181505,315.73,GPS:7 GLS:5 SBAS:0 BDU:5,0.17,0.19,RTK Float,"1278.722",23-01-2019,12:39:10,HORST
477938.643,5632365.598,HORST30,"2329",477938.643,5632365.598,300.791,50.50332684,8.411197,300.791,GPS:7 GLS:5 SBAS:0 BDU:5,0.17,0.17,RTK Float,"1235.211",23-01-2019,12:47:38,HORST
