id,treeID,creatorID,statusID,specID,easting,northing,height,DBH,remarks
"1",b00001,(jk),,FIG,477490.9,5632269.48,,0.15,
"2",b00002,(jk),"0",BUR,477577.44,5632278.02,,0.08,
"3",b00003,(jk),,FIG,477490.76,5632269.93,,0.08,tot
"4",b00004,(dg),"0",BUR,477535.15,5631810.85,,0.55,
"5",b00005,(DGLJS),"0",EIT,477926,5632136,38.3,0.51,
"6",b00006,(jk),,FIG,477493.29,5632269.77,,0.1,tot
"7",b00007,(DGLJS),"0",HBU,477660,5632370,18.5,0.23,
"8",b00008,(DGLJS),"0",EIT,477936,5632141,30.3,0.99,
"9",b00009,(GHKLRRS),"0",BUR,477393.6,5631904.1,7.1,0.3,
"10",b00010,(DGLJS),"0",HBU,477660,5632422,31.9,0.37,massive Rindenabschürfung
"11",b00011,(DGLJS),"0",ESG,477697,5632513,11.3,0.16,viele Rindenabschürfungen
"12",b00012,(DGLJS),"0",HBU,477966,5632176,8.9,0.18,
"13",b00013,(dg),"0",EIT,477350.58,5632173.92,,0.41,
"14",b00014,(dg),"0",BUR,477230.35,5631662.31,,0.59,
"15",b00015,(BHW),"0",BUR,477567.65,5632277.61,19,0.21,Plakette neu gesetzt dg 31.8.2018
"16",b00016,(GRLGS),"0",BUR,477487,5631974,5,0,tot
"17",b00017,(GRLGS),"0",BUR,477478.42,5631894.28,9,0.64,tot nur Stamm
"18",b00018,(DGLJS),"9999",EIT,477695,5632380,27.1,0.48,gleiche Koordinaten wie b00582
"19",b00019,(DGLJS),"0",HBU,477955,5632129,8.8,0.35,
"20",b00020,(DGLJS),"0",EIT,478015,5632182,31.1,0.6,Schürfungen am ganzen Baum
"21",b00400,(KSW),"0",BUR,477198.99,5631805.8,18,0.45,
"22",b00401,(KSW),"0",BUR,477203.32,5631808.12,19,0.37,
"23",b00402,(KSW),"0",BUR,477205.18,5631807.84,9,0.16,
"24",b00403,(KSW),"0",BUR,477205.26,5631803.22,22,0.48,
"25",b00404,(KSW),"0",BUR,477200.81,5631797.53,12,0.16,
"26",b00405,(KSW),"0",BUR,477200.77,5631796.08,19,0.37,
